,house_age,dormitory_type,condition_type
0,old_house,house,regular
1,old_house,house,regular
2,new_house,apartment,regular
3,old_house,house,good
4,new_house,house,regular
5,old_house,house,regular
6,old_house,house,regular
7,new_house,house,regular
8,new_house,house,regular
9,new_house,house,regular
10,new_house,house,regular
11,old_house,apartment,regular
12,old_house,house,regular
13,old_house,house,regular
14,new_house,house,regular
15,new_house,house,regular
16,old_house,house,regular
17,old_house,house,regular
18,old_house,apartment,regular
19,new_house,house,regular
20,old_house,house,regular
21,old_house,house,regular
22,old_house,house,regular
23,old_house,apartment,regular
24,old_house,house,regular
25,old_house,house,good
26,old_house,house,regular
27,old_house,house,good
28,old_house,house,regular
29,new_house,house,regular
30,old_house,house,regular
31,old_house,apartment,regular
32,old_house,house,regular
33,old_house,house,regular
34,old_house,house,regular
35,old_house,house,regular
36,old_house,house,bad
37,old_house,house,regular
38,new_house,house,bad
39,old_house,house,regular
40,old_house,house,regular
41,old_house,house,regular
42,old_house,house,regular
43,old_house,house,regular
44,old_house,house,regular
45,old_house,house,regular
46,new_house,house,regular
47,old_house,house,regular
48,new_house,house,regular
49,new_house,house,good
50,old_house,house,regular
51,new_house,house,regular
52,old_house,house,regular
53,new_house,apartment,regular
54,new_house,house,regular
55,old_house,house,regular
56,old_house,house,regular
57,new_house,house,regular
58,old_house,house,regular
59,new_house,house,regular
60,old_house,house,regular
61,old_house,house,regular
62,old_house,house,good
63,old_house,house,regular
64,old_house,house,regular
65,old_house,house,good
66,old_house,house,regular
67,old_house,house,regular
68,old_house,house,regular
69,old_house,house,regular
70,old_house,house,regular
71,new_house,house,regular
72,old_house,house,good
73,old_house,house,regular
74,new_house,house,good
75,old_house,house,regular
76,old_house,house,regular
77,new_house,house,regular
78,old_house,house,regular
79,new_house,house,regular
80,old_house,house,regular
81,old_house,house,regular
82,old_house,apartment,regular
83,new_house,house,regular
84,old_house,house,regular
85,old_house,house,regular
86,old_house,house,good
87,old_house,house,regular
88,old_house,apartment,regular
89,old_house,apartment,regular
90,old_house,house,regular
91,new_house,house,regular
92,new_house,house,regular
93,old_house,house,regular
94,old_house,house,regular
95,old_house,house,regular
96,new_house,house,regular
97,old_house,house,regular
98,old_house,house,good
99,old_house,house,regular
100,old_house,house,good
101,old_house,house,regular
102,old_house,house,regular
103,old_house,house,regular
104,old_house,house,regular
105,new_house,house,regular
106,old_house,house,regular
107,old_house,apartment,regular
108,new_house,house,regular
109,old_house,house,regular
110,old_house,house,regular
111,new_house,house,good
112,old_house,house,regular
113,old_house,house,regular
114,old_house,house,regular
115,old_house,house,regular
116,old_house,house,regular
117,old_house,apartment,regular
118,new_house,house,regular
